Dấu thời gian,"Bạn đã từng tương tác với con Bot ""Trợ lý"" hoặc đọc Bản tin tự động do Bot đăng trên Discord chưa?","Tần suất bạn gặp (hoặc thấy) tình trạng câu hỏi bị TRÔI hoặc học viên phải nhắn lại lần 2, 3 trên Discord là bao nhiêu?","Khi tin nhắn hỏi lỗi/bị kẹt trên Discord bị trôi, thời gian bị lãng phí/ảnh hưởng thường là bao lâu?","Khi tin nhắn bị trôi giữa hàng trăm tin nhắn khác, cách xử lý thường thấy nhất của bạn là gì?", Vấn đề LỚN NHẤT bạn gặp phải khi con Bot hiện tại trả lời câu hỏi là gì?,Gần gần nhất bạn (hoặc học viên của bạn) gặp tình trạng kẹt bài tập/bị trôi tin nhắn trên Discord là khi nào?
17/09/2026 19:11:15,Đã từng tag @Trợ lý để hỏi bài/logistics,Thỉnh thoảng (1 – 2 lần/tuần),Mất cả ngày (hoặc bỏ qua bài đó không làm nữa),"Gõ nhắn lại lần 2, lần 3 (""Up / Có ai giúp mình với"")","Bot trả lời quá dông dài, lan man, không vào thẳng trọng tâm",Vừa xảy ra trong tuần này (vài ngày qua)
17/09/2026 19:11:18,Đã từng tag @Trợ lý để hỏi bài/logistics,Thỉnh thoảng (1 – 2 lần/tuần),Mất từ 1 – 3 tiếng tự loay hoay (hoặc lướt tìm lại),"Gõ nhắn lại lần 2, lần 3 (""Up / Có ai giúp mình với"")","Bot trả lời quá dông dài, lan man, không vào thẳng trọng tâm",Vừa xảy ra trong tuần này (vài ngày qua)
17/09/2026 19:12:06,Đã từng trải nghiệm cả 2,Rất thường xuyên (Hầu như tuần nào cũng gặp vài lần),Mất dưới 30 phút (được giải quyết nhanh),Lướt đọc thủ công lại từ trên xuống dưới xem có ai trả lời/hỏi giống mình không,"Bot trả lời quá dông dài, lan man, không vào thẳng trọng tâm",Vừa xảy ra trong tuần này (vài ngày qua)
17/09/2026 19:12:34,Đã từng trải nghiệm cả 2,Thỉnh thoảng (1 – 2 lần/tuần),Mất 30–60 phút đọc lướt lại hàng trăm tin nhắn cũ,"Gõ nhắn lại lần 2, lần 3 (""Up / Có ai giúp mình với"")","Bot trả lời quá dông dài, lan man, không vào thẳng trọng tâm",Vừa xảy ra trong tuần này (vài ngày qua)
17/09/2026 19:14:53,Đã từng tag @Trợ lý để hỏi bài/logistics,Rất thường xuyên (Hầu như tuần nào cũng gặp vài lần),Mất từ 1 – 3 tiếng tự loay hoay (hoặc lướt tìm lại),"Gõ nhắn lại lần 2, lần 3 (""Up / Có ai giúp mình với"")","Bot trả lời quá dông dài, lan man, không vào thẳng trọng tâm",Xảy ra trong 1–2 tuần trước
17/09/2026 19:15:15,Đã từng tag @Trợ lý để hỏi bài/logistics,Thỉnh thoảng (1 – 2 lần/tuần),Mất từ 1 – 3 tiếng tự loay hoay (hoặc lướt tìm lại),"Gõ nhắn lại lần 2, lần 3 (""Up / Có ai giúp mình với"")","Bot đoán mò/bịa thông tin (nhất là thông tin deadline, link nộp bài, quy định)",Vừa xảy ra trong tuần này (vài ngày qua)
17/09/2026 19:16:59,Đã từng tag @Trợ lý để hỏi bài/logistics,Thỉnh thoảng (1 – 2 lần/tuần),Mất 30–60 phút đọc lướt lại hàng trăm tin nhắn cũ,Lướt đọc thủ công lại từ trên xuống dưới xem có ai trả lời/hỏi giống mình không,Bot không biết tự từ chối hoặc không biết tự tag TA khi gặp câu hỏi khó,Vừa xảy ra trong tuần này (vài ngày qua)
17/09/2026 19:17:25,Đã từng tag @Trợ lý để hỏi bài/logistics,Thỉnh thoảng (1 – 2 lần/tuần),Mất từ 1 – 3 tiếng tự loay hoay (hoặc lướt tìm lại),"Gõ nhắn lại lần 2, lần 3 (""Up / Có ai giúp mình với"")","Bot trả lời quá dông dài, lan man, không vào thẳng trọng tâm",Xảy ra trong 1–2 tuần trước
17/09/2026 19:17:53,Đã từng tag @Trợ lý để hỏi bài/logistics,Rất thường xuyên (Hầu như tuần nào cũng gặp vài lần),Mất từ 1 – 3 tiếng tự loay hoay (hoặc lướt tìm lại),Nhắn tin riêng (DM) trực tiếp cho TA hoặc bạn học,Bot không biết tự từ chối hoặc không biết tự tag TA khi gặp câu hỏi khó,Vừa xảy ra trong tuần này (vài ngày qua)
17/09/2026 19:18:01,Đã từng tag @Trợ lý để hỏi bài/logistics,Rất thường xuyên (Hầu như tuần nào cũng gặp vài lần),Mất từ 1 – 3 tiếng tự loay hoay (hoặc lướt tìm lại),"Bỏ qua, chấp nhận không làm bài đó nữa","Bot trả lời quá dông dài, lan man, không vào thẳng trọng tâm",Xảy ra trong 1–2 tuần trước
17/09/2026 19:18:10,Đã từng tag @Trợ lý để hỏi bài/logistics,Rất thường xuyên (Hầu như tuần nào cũng gặp vài lần),Mất từ 1 – 3 tiếng tự loay hoay (hoặc lướt tìm lại),Nhắn tin riêng (DM) trực tiếp cho TA hoặc bạn học,"Bot trả lời quá dông dài, lan man, không vào thẳng trọng tâm",Lâu rồi không nhớ rõ
17/09/2026 19:19:17,Đã từng tag @Trợ lý để hỏi bài/logistics,Rất thường xuyên (Hầu như tuần nào cũng gặp vài lần),Mất từ 1 – 3 tiếng tự loay hoay (hoặc lướt tìm lại),Nhắn tin riêng (DM) trực tiếp cho TA hoặc bạn học,Bot không biết tự từ chối hoặc không biết tự tag TA khi gặp câu hỏi khó,Vừa xảy ra trong tuần này (vài ngày qua)
